timestamp,test-class,test-method,time,description,result
2021-06-07 20:15:07.854,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2223,"[1] recordIndex=0, title=T, description=a, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=http://third.task/public/finished, workload=0:01",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:15:10.335,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2265,"[2] recordIndex=1, title=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=A public finished task which is the second one, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=null, workload=0:02",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:15:12.772,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2215,"[3] recordIndex=2, title=Public finished task number three, description=a, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=http://third.task/public/finished, workload=24:00",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:15:15.264,acme.testing.manager.task.ManagerTaskCreateServiceTest,createPositive,2274,"[4] recordIndex=3, title=Public finished task number four, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, executionStart=2022/02/01 10:00, executionEnd=2022/02/02 10:00, link=null, workload=23:59",The system doesn't navigate from '/master/sign-in' to '/master/welcome'
2021-06-07 20:15:20.76,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5262,"[1] recordIndex=0, title=null, description=null, executionStart=null, executionEnd=null, link=null, workload=null",OK
2021-06-07 20:15:26.323,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5336,"[2] recordIndex=1, title=0, description=0, executionStart=0, executionEnd=0, link=0, workload=0",OK
2021-06-07 20:15:31.897,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5371,"[3] recordIndex=2, title=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa, description=a, executionStart=yesterday, executionEnd=yesterday, link=null, workload=http://sixth.task/public/finished",OK
2021-06-07 20:15:37.689,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5570,"[4] recordIndex=3, title=a, description=aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa…, executionStart=tomorrow, executionEnd=2012/12/23 19:00, link=a, workload=http://sixth.task/public/finished",OK
2021-06-07 20:15:43.28,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5378,"[5] recordIndex=4, title=a, description=a, executionStart=2012/12/23 19:00, executionEnd=http://sixth.task/public/finished, link=null, workload=http://sixth.task/public/finished",OK
2021-06-07 20:15:48.808,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5319,"[6] recordIndex=5, title=a, description=a, executionStart=2022/12/23 19:00, executionEnd=2012/12/23 19:00, link=null, workload=0:00",OK
2021-06-07 20:15:54.408,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5395,"[7] recordIndex=6, title=a, description=a, executionStart=2022/12/23 19:00, executionEnd=2022/12/21 19:00, link=a, workload=http://sixth.task/public/finished",OK
2021-06-07 20:15:59.981,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5356,"[8] recordIndex=7, title=a, description=a, executionStart=2022/01/01 19:00, executionEnd=2022/01/01 22:00, link=null, workload=0:-01",OK
2021-06-07 20:16:05.577,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5328,"[9] recordIndex=8, title=a, description=a, executionStart=2022/01/01 19:00, executionEnd=2022/01/01 22:00, link=a, workload=3:01",OK
2021-06-07 20:16:11.166,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5368,"[10] recordIndex=9, title=a, description=a, executionStart=2022/12/23 19:00, executionEnd=2022/12/28 21:00, link=null, workload=-5:00",OK
2021-06-07 20:16:16.738,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5362,"[11] recordIndex=10, title=a, description=a, executionStart=2022/12/23 19:00, executionEnd=2022/12/28 21:00, link=http://sixth.task/public/finished, workload=2:9999999999999999",OK
2021-06-07 20:16:22.301,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5341,"[12] recordIndex=11, title=a, description=a, executionStart=2022/12/23 19:00, executionEnd=2022/12/28 21:00, link=http://sixth.task/public/finished, workload=mucho",OK
2021-06-07 20:16:27.845,acme.testing.manager.task.ManagerTaskCreateServiceTest,createNegative,5329,"[13] recordIndex=12, title=a, description=a, executionStart=2022/12/22 21:00, executionEnd=2022/12/28 21:00, link=null, workload=3:99",OK
