timestamp,simple-path,time,,time,
00:59.7,/master/welcome,3532,,,
01:00.1,/master/welcome,270,,Media,454.4310345
01:01.9,/master/sign-in,1703,,Error típico,6.388694147
01:03.2,/master/welcome,613,,Mediana,587
01:10.9,/master/welcome,238,,Moda,600
01:11.6,/master/welcome,596,,Desviación estándar,233.3404397
01:11.9,/master/welcome,238,,Varianza de la muestra,54447.76081
01:12.2,/master/welcome,226,,Curtosis,23.66465432
01:12.9,/master/sign-in,601,,Coeficiente de asimetría,2.060203754
01:14.3,/master/welcome,612,,Rango,3364
01:14.9,/administrator/configuration/show,530,,Mínimo,168
01:15.1,/master/welcome,209,,Máximo,3532
01:15.8,/master/welcome,617,,Suma,606211
01:16.1,/master/welcome,206,,Cuenta,1334
01:16.6,/administrator/configuration/show,397,,Nivel de confianza(95.0%),12.53299022
01:20.3,/master/welcome,332,,,
01:20.6,/master/welcome,255,,,
01:21.3,/master/sign-in,644,,,
01:22.6,/master/welcome,602,,,
01:29.7,/master/welcome,210,,,
01:30.4,/master/welcome,598,,,
01:30.7,/master/welcome,191,,,
01:31.0,/master/welcome,206,,,
01:31.7,/master/sign-in,588,,,
01:33.0,/master/welcome,601,,,
01:33.3,/administrator/configuration/show,252,,,
01:35.3,/master/welcome,1680,,,
02:05.5,/administrator/configuration/show,243,,,
02:05.9,/master/welcome,208,,,
02:06.6,/master/welcome,598,,,
02:06.9,/master/welcome,190,,,
02:07.1,/master/welcome,193,,,
02:07.8,/master/sign-in,596,,,
02:09.1,/master/welcome,607,,,
02:09.4,/administrator/configuration/show,239,,,
02:10.7,/master/welcome,1152,,,
02:41.1,/administrator/configuration/show,250,,,
02:41.5,/master/welcome,220,,,
02:42.2,/master/welcome,601,,,
02:42.5,/master/welcome,219,,,
02:42.7,/master/welcome,178,,,
02:43.4,/master/sign-in,598,,,
02:44.7,/master/welcome,602,,,
02:45.1,/administrator/configuration/show,267,,,
02:46.4,/master/welcome,1147,,,
03:16.7,/administrator/configuration/show,251,,,
03:17.1,/master/welcome,209,,,
03:17.8,/master/welcome,612,,,
03:18.1,/master/welcome,202,,,
03:18.3,/master/welcome,193,,,
03:19.1,/master/sign-in,601,,,
03:20.4,/master/welcome,612,,,
03:20.7,/administrator/configuration/show,256,,,
03:22.1,/master/welcome,1138,,,
03:52.4,/administrator/configuration/show,237,,,
03:52.7,/master/welcome,210,,,
03:53.4,/master/welcome,599,,,
03:53.7,/master/welcome,196,,,
03:53.9,/master/welcome,189,,,
03:54.6,/master/sign-in,611,,,
03:56.0,/master/welcome,607,,,
03:56.3,/administrator/configuration/show,238,,,
03:57.1,/master/welcome,584,,,
04:27.4,/administrator/configuration/show,251,,,
04:27.8,/master/welcome,224,,,
04:28.5,/master/welcome,599,,,
04:28.8,/master/welcome,206,,,
04:29.0,/master/welcome,177,,,
04:29.7,/master/sign-in,581,,,
04:31.0,/master/welcome,609,,,
04:31.3,/administrator/configuration/show,255,,,
04:33.1,/master/welcome,595,,,
05:03.4,/administrator/configuration/show,275,,,
05:03.8,/master/welcome,237,,,
05:04.5,/master/welcome,598,,,
05:04.8,/master/welcome,188,,,
05:05.0,/master/welcome,194,,,
05:05.8,/master/sign-in,615,,,
05:07.0,/master/welcome,600,,,
05:07.3,/administrator/configuration/show,221,,,
05:08.7,/master/welcome,1150,,,
05:39.0,/administrator/configuration/show,264,,,
05:39.4,/master/welcome,220,,,
05:40.1,/master/welcome,590,,,
05:40.3,/master/welcome,194,,,
05:40.6,/master/welcome,189,,,
05:41.3,/master/sign-in,595,,,
05:42.6,/master/welcome,600,,,
05:42.9,/administrator/configuration/show,234,,,
05:43.7,/master/welcome,588,,,
06:14.0,/administrator/configuration/show,244,,,
06:14.3,/master/welcome,206,,,
06:15.0,/master/welcome,596,,,
06:15.3,/master/welcome,199,,,
06:15.5,/master/welcome,176,,,
06:16.2,/master/sign-in,588,,,
06:17.5,/master/welcome,599,,,
06:17.8,/administrator/configuration/show,242,,,
06:18.6,/master/welcome,589,,,
06:48.9,/administrator/configuration/show,246,,,
06:49.3,/master/welcome,226,,,
06:50.0,/master/welcome,603,,,
06:50.3,/master/welcome,191,,,
06:50.5,/master/welcome,179,,,
06:51.2,/master/sign-in,619,,,
06:52.5,/master/welcome,612,,,
06:52.8,/administrator/configuration/show,239,,,
06:53.6,/administrator/configuration/create,601,,,
06:53.9,/master/welcome,219,,,
06:54.6,/master/welcome,614,,,
06:54.9,/master/welcome,206,,,
06:55.1,/master/welcome,175,,,
06:55.9,/master/sign-in,598,,,
06:57.1,/master/welcome,593,,,
06:57.4,/administrator/configuration/show,243,,,
06:58.3,/administrator/configuration/create,604,,,
06:58.5,/master/welcome,203,,,
06:59.2,/master/welcome,597,,,
06:59.5,/master/welcome,206,,,
06:59.7,/master/welcome,182,,,
07:00.4,/master/sign-in,597,,,
07:01.7,/master/welcome,594,,,
